Found enzyme: Carbonic anhydrase (4.2.1.1)
--- Substrate, Organism, UniProt ID, KM Value (mM) ---
Substrate: CO2, Organism: Lacticaseibacillus rhamnosus, UniProt ID: , KM Value: 14100.0
Substrate: CO2, Organism: Flaveria bidentis, UniProt ID: , KM Value: 7500000.0
Substrate: CO2, Organism: Conticribra weissflogii, UniProt ID: , KM Value: 33000.0
Substrate: CO2, Organism: Conticribra weissflogii, UniProt ID: , KM Value: 33000.0
Substrate: CO2, Organism: Malassezia pachydermatis, UniProt ID: , KM Value: 9700.0
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 1400.0
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 10300.0
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 790.0
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 600.0
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 630.0
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 3100.0
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 2000.0
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 400.0
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 7000.0
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 7900.0
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 7100.0
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 5900.0
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 10200.0
Substrate: CO2, Organism: Sordaria macrospora, UniProt ID: , KM Value: 1300.0
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 1300.0
Substrate: CO2, Organism: Sordaria macrospora, UniProt ID: , KM Value: 1300.0
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 1300.0
Substrate: 4-nitrophenyl acetate, Organism: Bacillus subtilis, UniProt ID: , KM Value: 9.09
Substrate: 4-nitrophenyl acetate, Organism: Homo sapiens, UniProt ID: , KM Value: 2.94
Substrate: 4-nitrophenyl acetate, Organism: Homo sapiens, UniProt ID: , KM Value: 15.4
Substrate: 4-nitrophenyl acetate, Organism: Homo sapiens, UniProt ID: , KM Value: 2.92
Substrate: 4-nitrophenyl acetate, Organism: Homo sapiens, UniProt ID: , KM Value: 15.3
Substrate: 4-nitrophenyl acetate, Organism: Homo sapiens, UniProt ID: , KM Value: 3.025
Substrate: 4-nitrophenyl acetate, Organism: Homo sapiens, UniProt ID: , KM Value: 30.53
Substrate: 4-nitrophenyl acetate, Organism: Bos taurus, UniProt ID: , KM Value: 0.625
Substrate: 4-nitrophenyl acetate, Organism: Bos taurus, UniProt ID: , KM Value: 1.1
